Name,None of us reccommend,Needs further Investgation,Approved by:,Type,Vibes,lowkey vs poppin,sit&relax vs up&moving,Price,Happy Hour?,21+?,Street Address,Dogs Allowed?,Outdoor Seating Area? ,Bring your parents here,Accessible?,Accessibility Notes,Website,Notes,"Non-standard hours (like parks, movie theaters, etc.)",Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wendesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Happy Hour Monday start,Happy Hour Monday end,Happy Hour Tuesday start,Happy Hour Tuesday end,Happy Hour Wednesday start,Happy Hour Wendesday end,Happy Hour Thursday start,Happy Hour Thursday end,Happy Hour Friday start,Happy Hour Friday end,Happy Hour Saturday start,Happy Hour Saturday end,Happy Hour Sunday start,Happy Hour Sunday end,Happy hour notes
AB Crepes,FALSE,FALSE,Kiley,"Restaruant, Desserts",Chill,lowkey,sit & relax,$10-20,FALSE,FALSE,1311 Railroad Ave,FALSE,TRUE,FALSE,TRUE,,https://www.abcrepes.com/?y_source=1_MjAzODQxOTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,FALSE,9:00:00 AM,10:00 PM,9:00 AM,10:00 PM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,10:00 PM,,,,,,,,,,,,,,,
Acid Ball,FALSE,FALSE,Kiley,Other,Great spot to watch the sunset,lowkey,up & moving,free!,FALSE,FALSE,Granary Ave,TRUE,TRUE,FALSE,FALSE,"park with some paved paths, but overall it's just a rocky beach",https://cob.org/services/arts/waterfront-artifact,"A big ball, maybe full of acid?",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aslan Depot,FALSE,FALSE,Kiley,Brewery,"Chill, kinda hipster, has live music sometimes",lowkey,sit & relax,$10-20,TRUE,TRUE,1322 N. State Street,TRUE,TRUE,FALSE,TRUE,,https://www.aslanbrewing.com/depot,,FALSE,3:00:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,12:00 PM,11:00 PM,
Bar Cicotti,FALSE,FALSE,Kiley,Restaruant,Traditional talian Coffee/Wine Bar,lowkey,sit & relax,$20-30,TRUE,FALSE,202 Grand Ave,FALSE,TRUE,FALSE,TRUE,,barcicotti.com,,FALSE,,,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:30 PM,11:00 AM,9:30 PM,11:00 AM,9:00 PM,,,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,
Cabin Tavern,FALSE,FALSE,Kiley,Bar,Kind of biker vibes? Very fun tho. Doesn't seem as college towney as other places,lowkey,sit & relax,$0-10,FALSE,TRUE,307 W Holly St,FALSE,TRUE,FALSE,FALSE,,https://cabintavern.square.site/,Great smash burgers. Weird bathroom. Cheap Ranier.,FALSE,,,,,,,3:00 PM,9:00 PM,3:00 PM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,7:00 PM,,,,,,,3:00 PM,5:00 PM,3:00 PM,5:00 PM,,,,,
Cap Hansen's Lounge,FALSE,FALSE,Kiley,Bar,Doug is the best bouncer in town,poppin,sit & relax,$0-10,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,4:00:00 PM,2:00 AM,4:00 PM,2:00 AM,4:00 PM,2:00 AM,4:00 PM,2:00 AM,4:00 PM,2:00 AM,4:00 PM,2:00 AM,,,,,,,,,,,,,,,,,
"Cheba Hut ""Toasted"" Subs",FALSE,FALSE,Kiley,Restaruant,Stoner Trivia!,lowkey,sit & relax,$10-20,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,5:00 PM,2:00 AM,5:00 PM,2:00 AM,5:00 PM,2:00 AM,5:00 PM,2:00 AM,5:00 PM,2:00 AM,5:00 PM,2:00 AM,,,,,,,,,,,,,,,
GRUFF Brewing Co.,FALSE,FALSE,Kiley,Brewery,Very chill. Very granola.,lowkey,sit & relax,$0-10,FALSE,TRUE,104 E Maple St # 101,TRUE,TRUE,TRUE,FALSE,,https://www.gruff-brewing.com/,VERY LARGE outdoor seating area with multiple fire pits. Has a food window ,FALSE,11:00:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,1:00 AM,11:00 AM,1:00 AM,11:00 AM,9:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,,,,,
Honey Moon Mead & Cider,FALSE,FALSE,Kiley,Brewery,"usually has live music, ",lowkey,sit & relax,$0-10,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,,,,FALSE,3:00:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,3:00 PM,11:00 PM,11:00 AM,1:00 AM,11:00 AM,1:00 AM,11:00 AM,12:00 AM,,,,,,,,,,,,,,,
Jack's,FALSE,FALSE,Kiley,Bar,"dark, moody",poppin,sit & relax,$10-20,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,,,FALSE,,,,,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,,,,,,,,,,,,,,,,,
L&L Libations,FALSE,FALSE,Kiley,Bar,Cute decor and trendy cocktails,lowkey,sit & relax,$10-20,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,,,FALSE,5:00:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,2:00 AM,5:00 PM,2:00 AM,5:00 PM,12:00 AM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,,,,,5:00 PM,7:00 PM,
Pel'meni Restaurant,FALSE,FALSE,Kiley,Restaruant,"A bellingham staple, very casual",lowkey,sit & relax,$10-20,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,FALSE,4:00:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,12:00 AM,4:00 PM,12:00 AM,4:00 PM,11:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,
Pickford Film Center,FALSE,FALSE,Kiley,Other,Local arthouse cinema,lowkey,sit & relax,$10-20,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,11:00:00 AM,2:30 AM,11:00 AM,2:30 AM,11:00 AM,2:30 AM,11:00 AM,2:30 AM,11:00 AM,2:30 AM,11:00 AM,2:30 AM,11:00 AM,2:30 AM,,,,,,,,,,,,,,,
Pure Bliss Desserts,FALSE,FALSE,Kiley,Desserts,chic bakery that serves coffee and alcohol,lowkey,sit & relax,$0-10,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramen + Bowl,FALSE,FALSE,Kiley,Restaruant,"Casual sit down, order at the counter",lowkey,sit & relax,$10-20,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,,https://ramenandbowl.com/,happy hour 99 cent Sapporo,FALSE,11:00:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,,,,,,,,,,,,,,,,,
Redlight Kitchen & Bar,FALSE,FALSE,Kiley,"Restaruant, Bar",cozy & trendy,poppin,sit & relax,$20-30,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,,,,FALSE,5:00:00 PM,11:30 PM,5:00 PM,11:30 PM,5:00 PM,11:30 PM,5:00 PM,11:30 PM,5:00 PM,1:00 AM,3:00 PM,1:00 AM,3:00 PM,8:00 PM,8:30 PM,11:30 PM,8:30 PM,11:30 PM,8:30 PM,11:30 PM,8:30 PM,11:30 PM,8:30 PM,1:00 AM,8:30 PM,1:00 AM,,,
Sweet as Waffles ,FALSE,FALSE,Kiley,"Restaruant, Desserts","Come here for breakfast, lunch, dinner, dessert, or drinks!",lowkey,sit & relax,$10-20,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,FALSE,4:00:00 PM,12:00 AM,4:00 PM,12:00 AM,4:00 PM,12:00 AM,4:00 PM,12:00 AM,4:00 PM,12:00 AM,4:00 PM,12:00 AM,4:00 PM,12:00 AM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,,,,,4:00 PM,6:00 PM,Sunday - Thursday last 2 hours of the day: any bowl of wontons and any cocktail for $18
The Temple Bar,FALSE,FALSE,Kiley,Bar,Great happy hour! A whole bottle of wine and a cheese board!,lowkey,sit & relax,$10-20,TRUE,TRUE,,FALSE,TRUE,FALSE,TRUE,,,,FALSE,4:00:00 PM,1:00 AM,4:00 PM,1:00 AM,4:00 PM,1:00 AM,4:00 PM,1:00 AM,4:00 PM,2:00 AM,4:00 PM,2:00 AM,4:00 PM,1:00 AM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,
Aslan Brewing Company,FALSE,FALSE,Maya,Brewery,"Casual sit down, good size food menu",lowkey,sit & relax,$20-30,TRUE,FALSE,1330 N Forest St,FALSE,TRUE,TRUE,FALSE,,https://www.aslanbrewing.com/brewpub,Try the Mac and Cheese balls ,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Inn,FALSE,FALSE,Maya,Bar,"Dive bar, pool tables, POPCORN",lowkey,up & moving,$10-20,FALSE,TRUE,115 E Holly St,FALSE,FALSE,FALSE,FALSE,,https://www.facebook.com/p/Beaver-Inn-100068910707000/,,FALSE,,,4:00 PM,10:00 PM,4:00 PM,10:00 PM,4:00 PM,10:00 PM,4:00 PM,12:00 AM,4:00 PM,12:00 AM,,,,,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,,,
Black Cat,FALSE,FALSE,Maya,Restaruant,try their fondue appitizer!,lowkey,sit & relax,$20-30,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sheep Bellingham,FALSE,FALSE,Maya,Restaruant,Cute bar with yummy tacos,lowkey,sit & relax,$20-30,TRUE,TRUE, 211 W Holly St,FALSE,TRUE,TRUE,FALSE,,https://blacksheepbellingham.com/,Check out their rotating happy hour discounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Capitan's Taproom,FALSE,FALSE,Maya,Bar,Pirate themed place with hotdogs and karaoke,poppin,sit & relax,$10-20,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUXT Taphouse,FALSE,FALSE,Maya,Bar,Try their cocktail flights ,lowkey,sit & relax,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rum,FALSE,FALSE,Maya,Bar,Tiki themed bar with yummy french fries,lowkey,sit & relax,$10-20,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,12:00:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,10:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,,,12:00 PM,10:00 PM,
Schweinhaus Biergarten,FALSE,FALSE,Maya,Bar,"Fun live music, and games ",lowkey,sit & relax,$10-20,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Climbing Gym,FALSE,FALSE,Sophia,Other,Rock climbing gy.,poppin,up & moving,$20-30,FALSE,FALSE,1421 N State St,FALSE,FALSE,FALSE,FALSE,,http://www.vitalclimbinggym.com/bellingham,If youre feeling extra adventerous. indoor seating,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Up Lounge,FALSE,FALSE,Sophia,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,11:00:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,,,,,,,,,,,,,,,
21st Century Bowl,FALSE,FALSE,,Other,,poppin,up & moving,$10-20,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accomplice,TRUE,TRUE,,Restaruant,,,,$10-20,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ay Chihuaua Cantina,TRUE,TRUE,,Restaruant,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
